county,state,population_2010
Autauga County,Alabama,54571
Baldwin County,Alabama,182265
Barbour County,Alabama,27457
Bibb County,Alabama,22915
Blount County,Alabama,57322
Bullock County,Alabama,10914
Butler County,Alabama,20947
Calhoun County,Alabama,118572
Chambers County,Alabama,34215
Cherokee County,Alabama,25989
Chilton County,Alabama,43643
Choctaw County,Alabama,13859
Clarke County,Alabama,25833
Clay County,Alabama,13932
Cleburne County,Alabama,14972
Coffee County,Alabama,49948
Colbert County,Alabama,54428
Conecuh County,Alabama,13228
Coosa County,Alabama,11539
Covington County,Alabama,37765
Crenshaw County,Alabama,13906
Cullman County,Alabama,80406
Dale County,Alabama,50251
Dallas County,Alabama,43820
DeKalb County,Alabama,71109
Elmore County,Alabama,79303
Escambia County,Alabama,38319
Etowah County,Alabama,104430
Fayette County,Alabama,17241
Franklin County,Alabama,31704
Geneva County,Alabama,26790
Greene County,Alabama,9045
Hale County,Alabama,15760
Henry County,Alabama,17302
Houston County,Alabama,101547
Jackson County,Alabama,53227
Jefferson County,Alabama,658466
Lamar County,Alabama,14564
Lauderdale County,Alabama,92709
Lawrence County,Alabama,34339
Lee County,Alabama,140247
Limestone County,Alabama,82782
Lowndes County,Alabama,11299
Macon County,Alabama,21452
Madison County,Alabama,334811
Marengo County,Alabama,21027
Marion County,Alabama,30776
Marshall County,Alabama,93019
Mobile County,Alabama,412992
Monroe County,Alabama,23068
Montgomery County,Alabama,229363
Morgan County,Alabama,119490
Perry County,Alabama,10591
Pickens County,Alabama,19746
Pike County,Alabama,32899
Randolph County,Alabama,22913
Russell County,Alabama,52947
St. Clair County,Alabama,83593
Shelby County,Alabama,195085
Sumter County,Alabama,13763
Talladega County,Alabama,82291
Tallapoosa County,Alabama,41616
Tuscaloosa County,Alabama,194656
Walker County,Alabama,67023
Washington County,Alabama,17581
Wilcox County,Alabama,11670
Winston County,Alabama,24484
Aleutians East Borough,Alaska,3141
Aleutians West Census Area,Alaska,5561
Anchorage Municipality,Alaska,291826
Bethel Census Area,Alaska,17013
Bristol Bay Borough,Alaska,997
Denali Borough,Alaska,1826
Dillingham Census Area,Alaska,4847
Fairbanks North Star Borough,Alaska,97581
Haines Borough,Alaska,2508
Hoonah-Angoon Census Area,Alaska,2150
Juneau City and Borough,Alaska,31275
Kenai Peninsula Borough,Alaska,55400
Ketchikan Gateway Borough,Alaska,13477
Kodiak Island Borough,Alaska,13592
Lake and Peninsula Borough,Alaska,1631
Matanuska-Susitna Borough,Alaska,88995
Nome Census Area,Alaska,9492
North Slope Borough,Alaska,9430
Northwest Arctic Borough,Alaska,7523
Petersburg Census Area,Alaska,3815
