Team,Sponsor,Years_Active,Reported_Annual_Value,Value_Confidence,Notes
LA Lakers,Wish,~2017-2021,13000000,Confirmed,CBS Sports: $12M-$14M/yr (midpoint used)
LA Lakers,Bibigo,2021-2026,20000000,Confirmed,Front Office Sports/Silver Screen and Roll: $100M over 5 years = $20M/yr; reported as 'double the NBA average' at signing
LA Lakers,Albert,2026-present,30000000,Confirmed,Active deal - see 'NBA Patch Deals' tab
Golden State Warriors,Rakuten,2017-2020,20000000,Confirmed,Bleacher Report/Forbes: reported $60M over 3 years = $20M/yr; was NBA's most lucrative patch deal at signing
Golden State Warriors,Iren Ltd.,2026-present,50000000,Confirmed (floor),Active deal - see 'NBA Patch Deals' tab
Charlotte Hornets,Feastables,2023-24,10000000,Confirmed (floor),"The SportsRush: reported 'valuing over $10,000,000' - first creator-led brand jersey patch (MrBeast)"
Brooklyn Nets,Infor,~2017,,Not found,Bloomberg reported the sale but no $ figure found in initial pass
Brooklyn Nets,Webull,2021-~2024,30000000,Confirmed,CNBC: reported $30M/yr - was among NBA's richest patch deals at signing
Brooklyn Nets,Get Your Guide,2024-25,,Not found,No $ figure found in initial pass - needs manual search
Portland Trail Blazers,Brightside Windows,2024-2026,,Not found,No $ figure found in initial pass - needs manual search
Sacramento Kings,Phoong Law,2025-2026,,Not found,Announced for 2025-26 season - no $ figure found in initial pass
Boston Celtics,General Electric (GE),2017-2020,7000000,Confirmed,Bloomberg/Ad Age: 'over $7 million a year' - one of the NBA's original 2017 patch deals
Boston Celtics,Vistaprint,2020-2024,,Not found,Needs manual search
Boston Celtics,Amica Mutual Insurance,2024-present,,Not found,Active deal - see 'NBA Patch Deals' tab
LA Clippers,Bumble,2018-2020,6667000,Confirmed,User-confirmed: $20M total over 3 years = ~$6.67M/yr (Slam Online reported the $20M total figure)
LA Clippers,Honey,2020-2023,,Not found,Needs manual search
Philadelphia 76ers,StubHub,2017-2021,,Not found,"NBA's first-ever jersey patch deal (May 2016 announcement) - heavily covered for the novelty, no $ figure found in initial pass"
Cleveland Cavaliers,Goodyear,2017-2022,,Not found,Needs manual search
Memphis Grizzlies,FedEx,2018-2021,,Not found,Needs manual search
Miami Heat,Ultimate Software,2017-2020,,Not found,Needs manual search
New York Knicks,Squarespace,2017-2022,,Not found,"Needs manual search - note current Knicks patch reportedly sought at $30M/yr per Front Office Sports, but that's for a later deal, not Squarespace"
Washington Wizards,Geico,2018-2021,,Not found,"Needs manual search - Wizards reportedly sought $12M/yr for a LATER deal (2021 ask per CNBC), not confirmed as the Geico price itself"
Houston Rockets,ROKiT Phones,2018-2021,,Not found,Needs manual search
Milwaukee Bucks,Harley-Davidson,2017-2020,,Not found,Needs manual search
