Team,Sponsor,Category,Deal_Timeframe,Real_Annual_Value,Value_Confidence,Exposure_Value_Zoomph,DMA_Rank,TV_Homes,DMA_Note
Atlanta Hawks,Paze,Financial Services,2024-present,,Not found,14500000,7,2758170,
Boston Celtics,Amica Mutual Insurance,Insurance,2024-present,,Not found,41000000,9,2584460,
Brooklyn Nets,All in Won,Travel/Tourism,2024-25,,Not found,14100000,1,7494510,
Charlotte Hornets,Judi Health,Health Care,2025-present,,Not found,12200000,21,1382020,
Chicago Bulls,Motorola,Consumer Electronics,2022-present,,Not found,28300000,3,3654750,
Cleveland Cavaliers,Cleveland-Cliffs,Manufacturing,2022-present,,Not found,20500000,19,1554340,
Dallas Mavericks,JPMorganChase,Financial Services,2026-present,,Not found,31100000,4,3264490,
Denver Nuggets,Ibotta,Technology,2023-present,,Not found,34600000,17,1806270,
Detroit Pistons,StockX,Apparel/Footwear,2024-present,,Not found,21500000,14,1940750,
Golden State Warriors,Iren Ltd.,Technology,2026-present,50000000,Confirmed (floor),77300000,10,2542480,
Houston Rockets,Memorial Hermann,Health Care,2024-present,,Not found,34300000,6,2797420,
Indiana Pacers,Lucas Oil,Energy/Utilities,2024-present,,Not found,16800000,25,1232210,
LA Clippers,Visit Rwanda,Travel/Tourism,2025-present,,Not found,26300000,2,5835790,
LA Lakers,Albert,Financial Services,2026-present,30000000,Confirmed,102000000,2,5835790,
Memphis Grizzlies,Robinhood,Financial Services,2024-present,,Not found,5380000,51,666300,
Miami Heat,Robinhood,Financial Services,2024-present,,Not found,23200000,18,1756920,
Milwaukee Bucks,Uline,Manufacturing,2026-present,,Not found,17700000,38,944900,
Minnesota Timberwolves,Sezzle,Technology,2024-present,,Not found,35000000,16,1886680,
New Orleans Pelicans,NewAge Products,Manufacturing,2024-present,,Not found,10200000,50,672790,
New York Knicks,Experience Abu Dhabi,Travel/Tourism,2024-present,,Not found,26400000,1,7494510,
Oklahoma City Thunder,Love's Travel Stops & Country Stores,Consumer Goods,2019-present,40000000,Uncertain - verify,29800000,47,762700,
Orlando Magic,Disney,Entertainment,2017-present,,Not found,24800000,15,1902420,
Philadelphia 76ers,Crypto.com,Casino/Gambling,2021-present,10000000,Confirmed,15700000,5,3145920,
Phoenix Suns,PayPal,Financial Services,2018-2026,,Not found,29900000,12,2198200,
Portland Trail Blazers,No sponsor,-,-,,N/A,14100000,23,1277920,
Sacramento Kings,Sutter Health,Health Care,2026-present,,Not found,8250000,20,1497920,
San Antonio Spurs,Ledger,Financial Services,2025-present,,Not found,75500000,31,1096400,
Toronto Raptors,Sun Life Financial,Financial Services,2017-present,,Not found,11900000,4,3646667,"ESTIMATE (local Toronto-metro proxy, not real Nielsen rank). National-Canada alt estimate: rank #1-equiv, 17,257,107 - see Market Size (DMA) tab for both."
Utah Jazz,LiveView Technologies,Technology,2023-present,,Not found,5190000,28,1163520,
Washington Wizards,Robinhood,Financial Services,2023-2026,,Not found,6290000,8,2630640,
