Team,Sponsor,Deal_Start_Year,Real_Annual_Value,Value_Confidence,Deal_Type,Exposure_Value_Zoomph,Years_To_Now,Value_2026_Equivalent,Predicted_2026_Equivalent,Residual,Pct_Error
Golden State Warriors,Iren Ltd.,2026.0,50000000.0,Confirmed (floor),Current deal,77300000,0.0,50000000.0,36078450.237154365,13921549.762845635,27.843099525691272
LA Lakers,Albert,2026.0,30000000.0,Confirmed,Current deal,102000000,0.0,30000000.0,37669340.70156208,-7669340.701562077,-25.564469005206924
Oklahoma City Thunder,Love's Travel Stops & Country Stores,2019.0,40000000.0,Uncertain - verify,Current deal,29800000,7.0,79082492.23012671,33019045.497908752,46063446.73221795,58.247338232810456
Philadelphia 76ers,Crypto.com,2021.0,10000000.0,Confirmed,Current deal,15700000,5.0,16272081.524753947,32110885.354259003,-15838803.829505056,-97.33729397440786
LA Lakers,Wish,2017.0,13000000.0,Confirmed,Historical deal,102000000,9.0,31227768.625353407,37669340.70156208,-6441572.07620867,-20.627705275678405
LA Lakers,Bibigo,2021.0,20000000.0,Confirmed,Historical deal,102000000,5.0,32544163.049507894,37669340.70156208,-5125177.652054183,-15.748377502464862
Golden State Warriors,Rakuten,2017.0,20000000.0,Confirmed,Historical deal,77300000,9.0,48042720.96208216,36078450.237154365,11964270.724927798,24.90339948557582
Charlotte Hornets,Feastables,2023.0,10000000.0,Confirmed (floor),Historical deal,12200000,3.0,13392629.882110355,31885455.531367224,-18492825.64925687,-138.08210793579286
Brooklyn Nets,Webull,2021.0,30000000.0,Confirmed,Historical deal,14100000,5.0,48816244.574261844,32007831.720937047,16808412.853324797,34.43200721381784
Boston Celtics,General Electric (GE),2017.0,7000000.0,Confirmed,Historical deal,41000000,9.0,16814952.33672876,33740420.931162454,-16925468.594433695,-100.65724990170526
LA Clippers,Bumble,2018.0,6667000.0,Confirmed,Historical deal,26300000,8.0,14529124.104721282,32793615.675016973,-18264491.57029569,-125.7095158569166
