Team,Sponsor,Category,Deal_Timeframe,Real_Annual_Value,Estimated_Annual_Value,Final_Annual_Value,Value_Source,Exposure_Value_Zoomph,DMA_Rank,TV_Homes,Market_Tier,DMA_Note
Golden State Warriors,Iren Ltd.,Technology,2026-present,50000000.0,36078450.237154365,50000000.0,Real (Confirmed),77300000,10,2542480,Large,
Oklahoma City Thunder,Love's Travel Stops & Country Stores,Consumer Goods,2019-present,40000000.0,33019045.497908752,40000000.0,Real (Confirmed),29800000,47,762700,Small,
San Antonio Spurs,Ledger,Financial Services,2025-present,,35962514.89966716,35962514.89966716,Estimated (Model),75500000,31,1096400,Mid,
Boston Celtics,Amica Mutual Insurance,Insurance,2024-present,,33740420.931162454,33740420.931162454,Estimated (Model),41000000,9,2584460,Large,
Minnesota Timberwolves,Sezzle,Technology,2024-present,,33353969.806205116,33353969.806205116,Estimated (Model),35000000,16,1886680,Mid,
Denver Nuggets,Ibotta,Technology,2023-present,,33328206.397874624,33328206.397874624,Estimated (Model),34600000,17,1806270,Mid,
Houston Rockets,Memorial Hermann,Health Care,2024-present,,33308883.84162676,33308883.84162676,Estimated (Model),34300000,6,2797420,Large,
Dallas Mavericks,JPMorganChase,Financial Services,2026-present,,33102776.574982844,33102776.574982844,Estimated (Model),31100000,4,3264490,Large,
Phoenix Suns,PayPal,Financial Services,2018-2026,,33025486.349991374,33025486.349991374,Estimated (Model),29900000,12,2198200,Mid,
Chicago Bulls,Motorola,Consumer Electronics,2022-present,,32922432.716669418,32922432.716669418,Estimated (Model),28300000,3,3654750,Large,
New York Knicks,Experience Abu Dhabi,Travel/Tourism,2024-present,,32800056.527099594,32800056.527099594,Estimated (Model),26400000,1,7494510,Large,
LA Clippers,Visit Rwanda,Travel/Tourism,2025-present,,32793615.675016973,32793615.675016973,Estimated (Model),26300000,2,5835790,Large,
Orlando Magic,Disney,Entertainment,2017-present,,32697002.893777635,32697002.893777635,Estimated (Model),24800000,15,1902420,Mid,
Miami Heat,Robinhood,Financial Services,2024-present,,32593949.26045568,32593949.26045568,Estimated (Model),23200000,18,1756920,Mid,
Detroit Pistons,StockX,Apparel/Footwear,2024-present,,32484454.7750511,32484454.7750511,Estimated (Model),21500000,14,1940750,Mid,
Cleveland Cavaliers,Cleveland-Cliffs,Manufacturing,2022-present,,32420046.254224878,32420046.254224878,Estimated (Model),20500000,19,1554340,Mid,
Milwaukee Bucks,Uline,Manufacturing,2026-present,,32239702.39591145,32239702.39591145,Estimated (Model),17700000,38,944900,Small,
Indiana Pacers,Lucas Oil,Energy/Utilities,2024-present,,32181734.72716785,32181734.72716785,Estimated (Model),16800000,25,1232210,Mid,
Atlanta Hawks,Paze,Financial Services,2024-present,,32033595.129267536,32033595.129267536,Estimated (Model),14500000,7,2758170,Large,
Portland Trail Blazers,No sponsor,-,-,,32007831.720937047,32007831.720937047,Estimated (Model),14100000,23,1277920,Mid,
Brooklyn Nets,All in Won,Travel/Tourism,2024-25,,32007831.720937047,32007831.720937047,Estimated (Model),14100000,1,7494510,Large,
Charlotte Hornets,Judi Health,Health Care,2025-present,,31885455.531367224,31885455.531367224,Estimated (Model),12200000,21,1382020,Mid,
Toronto Raptors,Sun Life Financial,Financial Services,2017-present,,31866132.975119356,31866132.975119356,Estimated (Model),11900000,4,3646667,Large,"ESTIMATE (local Toronto-metro proxy, not real Nielsen rank). National-Canada alt estimate: rank #1-equiv, 17,257,107 - see Market Size (DMA) tab for both."
New Orleans Pelicans,NewAge Products,Manufacturing,2024-present,,31756638.489714775,31756638.489714775,Estimated (Model),10200000,50,672790,Small,
Sacramento Kings,Sutter Health,Health Care,2026-present,,31631041.87410364,31631041.87410364,Estimated (Model),8250000,20,1497920,Mid,
Washington Wizards,Robinhood,Financial Services,2023-2026,,31504801.173284244,31504801.173284244,Estimated (Model),6290000,8,2630640,Large,
Memphis Grizzlies,Robinhood,Financial Services,2024-present,,31446189.419332378,31446189.419332378,Estimated (Model),5380000,51,666300,Small,
Utah Jazz,LiveView Technologies,Technology,2023-present,,31433951.8003754,31433951.8003754,Estimated (Model),5190000,28,1163520,Mid,
LA Lakers,Albert,Financial Services,2026-present,30000000.0,37669340.70156208,30000000.0,Real (Confirmed),102000000,2,5835790,Large,
Philadelphia 76ers,Crypto.com,Casino/Gambling,2021-present,10000000.0,32110885.354259003,10000000.0,Real (Confirmed),15700000,5,3145920,Large,
